!SIL    SIL
छिड़कवाने	ch i dxq k w aa n ee
छिड़कवायें	ch i dxq k w aa y ee q
छिड़का	ch i dxq k aa
छिडकाव	ch i dx k aa w
छिड़काव	ch i dxq k aa w
छिडके	ch i dx a k ee
छिड़के	ch i dxq k ee
छिड़कें	ch i dxq k ee q
छिड़ा	ch i dxq aa
छिड़ा	ch i dxq aa
छिड़ी	ch i dxq ii
छिंदवाड़ा	ch i q d w aa dxq aa
छिद्र	ch i d r
छिन	ch i n
छिनतई	ch i n t ii
छिनते	ch i n t ee
छिनने	ch i n n ee
छिना	ch i n aa
छिनी	ch i n ii
छिन्द्वारा	ch i n d w aa r aa
छिन्न	ch i n n
छिप	ch i p
छिपकर	ch i p k a r
छिपकली	ch i p a k l ii
छिपा	ch i p aa
छिपाई	ch i p aa ii
छिपाए	ch i p aa ee
छिपाकर	ch i p aa k a r
छिपाता	ch i p aa t aa
छिपाते	ch i p aa t ee
छिपाना	ch i p aa n aa
छिपाने	ch i p aa n ee
छिपाया	ch i p aa y aa 
छिपी	ch i p ii
छिपे	ch i p ee
छिपो	ch i p o
छियत्तर	ch i y a t t a r
छियलीस	ch i y l ii s
छिया	ch i y aa
छियानबे	ch i y aa n b ee
छियानवे	ch i y aa n w ee
छियान्वा	ch i y aa n w aa
छियालीस	ch i y aa l ii s
छियालीसवाँ	ch i y aa l ii s w aa mq
छियासठ	ch i y aa s a txh
छियासठवें	ch i y aa s txh a w ee q
छियासी	ch i y aa s ii
छिरकाव	ch i r k aa w
छिलका	ch i l k aa
छिलके	ch i l k ee
छिलने	ch i l n ee
छिलो	ch i l o
छिवकी	ch i w k ii
छिहतर	ch i h t a r
छिहत्तर	ch i h a t t a r
छिहत्तरवें	ch i h a t t r a w ee q
छी	ch ii
छींक	ch ii q k
छीटकाव	ch ii tx k aa w
छींटाकशी	ch ii q tx aa k sh ii
छीटे	ch ii tx ee
छींटे	ch ii q tx ee
छीन	ch ii n
छीनकर	ch ii n k a r
छीनने	ch ii n n ee
छीना	ch ii n aa
छीनी	ch ii n ii
छीनूंग	ch ii n uu q g
छीनूँगा	ch ii n uu mq g aa
छीने	ch ii n ee
छीपी	ch ii p ii
छीमा	ch ii m aa
छीर	ch ii r
छील	ch ii l
छीलकर	ch ii l k a r
छीलन	ch ii l a n
छु	ch u
छुआ	ch u aa
छुआछूत	ch u aa ch uu t
छुई	ch u ii
छुए	ch u ee
छुओ	ch u o
छुकर	ch u k a r
छुट	ch u tx
छुटकारा	ch u tx k aa r aa
छुटती	ch u tx t ii
छुटन	ch u tx a n
छुटने	ch u tx n ee
छुटे	ch u tx ee
छुट्टन	ch u tx tx a n
छुट्टा	ch u tx tx aa
छुट्टियाँ	ch u tx tx i y aa mq
छुट्टियां	ch u tx tx i y aa q
छुट्टियों	ch u tx tx i y o q
छुट्टी	ch u tx tx ii
छुट्टे	ch u tx tx ee
छुड़वा	ch u dxq w aa
छुड़वा	ch u dxq w aa
छुड़ा	ch u dxq aa
छुड़ा	ch u dxq aa
छुड़ाकर	ch u dxq aa k a r
छुड़ाती	ch u dxq aa t ii
छुड़ाते	ch u dxq aa t ee
छुड़ाना	ch u dxq aa n aa
छुड़ाने	ch u dxq aa n ee
छुड़ाने	ch u dxq aa n ee
छुप	ch u p
छुपकर	ch u p k a r
छुपन	ch u p a n
छुपने	ch u p n ee
छुपा	ch u p aa
छुपाई	ch u p aa ii
छुपाए	ch u p aa ee
छुपाओगे	ch u p aa o g ee
छुपाके	ch u p aa k ee
छुपाती	ch u p aa t ii
छुपाते	ch u p aa t ee
छुपाना	ch u p aa n aa
छुपाने	ch u p aa n ee
छुपाया	ch u p aa y aa
छुपी	ch u p ii
छुपे	ch u p ee
छुपेगी	ch u p ee g ii
छुरा	ch u r aa
छू	ch uu
छूए	ch uu ee
छूकर	ch uu k a r
छूट	ch uu tx
छूटता	ch uu tx t aa
छूटन	ch uu tx a n
छूटना	ch uu tx n aa
छूटने	ch uu tx n ee
छूटा	ch uu tx aa
छूटे	ch uu tx ee
छूत	ch uu t
छूता	ch uu t aa
छूना	ch uu n aa
छूने	ch uu n ee
छूमंतर	ch uu m a q t a r
छे	ch ee
छेड़	ch ee dxq
छेड़	ch ee dxq
छेड़खानी	ch ee dxq kh aa n ii
छेड़छाड़	ch ee dxq ch aa dxq
छेड़छाड़	ch ee dxq ch aa dxq
छेड़छाड़	ch ee dxq ch aa dxq
छेड़ते	ch ee dxq t ee
छेड़ना	ch ee dxq n aa
छेड़ा	ch ee dxq aa
छेड़ो	ch ee dxq o
छेतपुर	ch ee t p u r
छेत्री	ch ee t r ii
छेत्रो	ch ee t r o
छेद	ch ee d
छेना	ch ee n aa
छेनी	ch ee n ii
छेयानवे	ch ee y aa n w ee
छेयान्वे	ch ee y aa n w ee
छेयालिश	ch ee y aa l i sh
छेयालिस	ch ee y aa l i s
छेयासठ	ch ee y aa s a txh
छेयासी	ch ee y aa s ii
छेर	ch ee r
छेरखानी	ch ee r kh aa n ii
छेसठ	ch ee s a txh
छेसो	ch ee s o
छेसौ	ch ee s ou
छेह	ch ee h
छेहतर	ch ee h t a r
छेहत्तर	ch ee h a t t a r
छै	ch ei
छैयांशट	ch ei y aa q sh a tx
छैला	ch ei l aa
छो	ch o
छोकरिया	ch o k r i y aa
छोट	ch o tx
छोटकी	ch o tx k ii
छोटन	ch o tx a n
छोटा	ch o tx aa
छोटानागपुर	ch o tx aa n aa g p u r
छोटी	ch o tx ii
छोटू	ch o tx uu
छोटे	ch o tx ee
छोटे-छोटे	ch o tx ee bh ch o tx ee
छोटो	ch o tx o
छोटों	ch o tx o q
छोड	ch o dx
छोड़	ch o dxq
छोड़	ch o dxq
छोडकर	ch o dx k a r
छोड़कर	ch o dxq k a r
छोड़कर	ch o dxq k a r
छोडके	ch o dx k ee
छोड़के	ch o dxq k ee
छोड़ता	ch o dxq t aa
छोड़ता	ch o dxq t aa
छोडती	ch o dx t ii
छोड़ती	ch o dxq t ii
छोड़ती	ch o dxq t ii
छोड़ते	ch o dxq t ee
छोड़ते	ch o dxq t ee
छोड़ना	ch o dxq n aa
छोड़ना	ch o dxq n aa
छोड़नी	ch o dxq n ii
छोड़ने	ch o dxq n ee
छोड़ने	ch o dxq n ee
छोड़नेवाले	ch o dxq n ee w aa l ee
छोडा	ch o dx aa
छोड़ा	ch o dxq aa
छोड़ा	ch o dxq aa
छोड़िए	ch o dxq i ee
छोडिये	ch o dx i y ee
छोड़िये	ch o dxq i y ee
छोडी	ch o dx ii
छोड़ी	ch o dxq ii
छोड़ी	ch o dxq ii
छोडूंगी	ch o dx uu q g ii
छोड़ूंगी	ch o dxq uu q g ii 
छोडे	ch o dx ee
छोडें	ch o dx ee q
छोड़े	ch o dxq ee
छोड़े	ch o dxq ee
छोड़ें	ch o dxq ee q
छोड़ेगा	ch o dxq ee g aa
छोड़ेगा	ch o dxq ee g aa
छोड़ेगे	ch o dxq ee g ee
छोड़ेंगे	ch o dxq ee q g ee
छोडो	ch o dx o
छोड़ो	ch o dxq o
छोड़ो	ch o dxq o
छोड़ों	ch o dxq o q
छोब	ch o b
छोर	ch o r
छोरियां	ch o r i y aa q
छोरिये	ch o r i y ee
छोरों	ch o r o q
छोला	ch o l aa
छोले	ch o l ee
छौ	ch ou
छ्यान्वे	ch a y aa n w ee
छ्यालीस	ch a y aa l ii s
छ्यांवे	ch a y aa q w ee
ज	j
जइबै	j i b ei
जई	j ii
जक	j a k
जंक	j a q k
जकड़	j a k a dxq
जकड़ा	j a k dxq aa
जकड़ा	j a k dxq aa
जंकयार्ड	j a q k a y aa r dx
जकशन	j a k a sh a n
ज़कात	z a k aa t
जकार्ता	j a k aa r t aa
जकूजी	j a k uu j ii
जंकों	j a q k o q
जंक्शन	j a q k sh a n
जखन	j a kh a n
जखनी	j a kh n ii
ज़खीरा	z a kh ii r aa
जख्म	j a kh m
ज़ख्म	z a kh m
ज़ख्म	z a kh m
ज़ख़्म	z a khq m 
जख्मी	j a kh m ii
ज़ख्मी	z a kh m ii
ज़ख्मी	z a kh m ii
ज़ख़्मी	z a khq m ii
ज़ख़्मी	z a khq m ii
जग	j a g
जंग	j a q g
जगजीतपुर	j a g j ii t p u r
जगजीवन	j a g j ii w a n
जगत	j a g a t
जगतपीठ	j a g t a p ii txh
जगतपुर	j a g t a p u r
जगतसिंह	j a g t a s i q h
जगदम्बे	j a g d a m b ee
जगदलपुर	j a g d a l p u r
जगदा	j a g d aa
जगदीश	j a g d ii sh
जगदीशपुर	j a g d ii sh a p u r
जगनारायण	j a g n aa r aa y a nx
जगने	j a g n ee
जगन्नाथ	j a g a n n aa th
जगन्नाथपुरी	j a g a n n aa th p u r ii
जगबीर	j a g b ii r
जगमग	j a g m a g
जगमगा	j a g m a g aa
जगमगाती	j a g m a g aa t ii
जगमय	j a g m a y
जगमाल	j a g m aa l
जगमोहन	j a g m o h a n
जगरनाथ	j a g a r n aa th
जगरार	j a g r aa r
जंगल	j a q g a l
जंगली	j a q g a l ii
जंगलो	j a q g a l o
जंगलों	j a q g a l o q
जंगवा	j a q g a w aa
जगवाथ	j a g w aa th
जगह	j a g a h
जगहवेजिस	j a g h a w ee j i s
जगहे	j a g h ee
जगहें	j a g h ee q
जगहो	j a g h o
जगहों	j a g h o q
जगा	j a g aa
जगाई	j a g aa ii
जगाएँ	j a g aa ee mq
जगाओ	j a g aa o
जगाओं	j a g aa o q
जगाकर	j a g aa k a r
जगाता	j a g aa t aa
जगाती	j a g aa t ii
जगाते	j a g aa t ee
जगाना	j a g aa n aa
जगाने	j a g aa n ee
जगाया	j a g aa y aa
जगाल	j a g aa l
जगाले	j a g aa l ee
जगी	j a g ii
जंगी	j a q g ii
जगु	j a g u
जगे	j a g ee
जगेह	j a g ee h
जग्गा	j a g g aa
जग्गू	j a g g uu
जग्य	j a g y
जघन्य	j gh a n y
जंच	j a q c
जच्चा	j a c c aa
जज	j a j
जजक	j a j a k
जजनो	j a j n o
जजमानों	j a j m aa n o q
जजमेंट	j a j m ee q tx
जजयो	j a j y o
जजसमे	j a j a s m ee
जजसे	j a j s ee
जज़ाब	j a z aa b
जंजाल	j a q j aa l
जजिया	j a j i y aa
जजिस	j a j i s
जजीर	j a j ii r
ज़ंजीर	z a q j ii r
जंजीर	j a q j ii r
जज़ीरा	j a z ii r aa
ज़ंजीरो	z a q j ii r o
जंजीरों	j a q j ii r o q
जजुआ	j a j u aa
जजें	j a j ee q
जजेस	j a j ee s
जजों	j a j o q
जज्बा	j a j b aa
जज़्बा	j a z b aa
जज़्बा	j a z b aa
जज्बात	j a j b aa t
जज्बातों	j a j b aa t o q
जज्बे	j a j b ee
जज़्बे	j a z b ee
जज़्बे	j a z b ee
जज्वाड़े	j a j w aa dxq ee
जटिल	j a tx i l
जटिलता	j a tx i l t aa
जटिलताओं	j a tx i l t aa o q
जठित	j a txh i t
जठिल	j a txh i l
जड	j a dx
जड़	j a dxq
जड़	j a dxq
जड़कर	j a dxq k a r
जड़कर	j a dxq k a r
जड़ता	j a dxq t aa
जड़ना	j a dxq n aa
जड़ने	j a dxq n ee
जड़मत	j a dxq a m a t
जड़मति	j a dxq a m t i
जड़ा	j a dxq aa
जड़ा	j a dxq aa
जड़ित	j a dxq i t
जड़ित	j a dxq i t
जड़िया	j a dxq i y aa
जड़ी	j a dxq ii
जड़ी	j a dxq ii
जडीबुटी	j a dx ii b u tx ii
जडीबुटीयों	j a dx ii b u tx ii y o q
जड़ीबूटियां	j a dxq ii b uu tx i y aa q
जड़ी-बूटी	j a dxq ii bh b uu tx ii
जड़ीबूटी	j a dxq ii b uu tx ii
जडे	j a dx ee
जड़े	j a dxq ee
जड़े	j a dxq ee
जड़ें	j a dxq ee q
जड़ें	j a dxq ee q
जडेजा	j a dx ee j aa
जड़ो	j a dxq o
जड़ों	j a dxq o q
जड़ों	j a dxq o q
जड्डू	j a dx dx uu
जत	j a t
जतन	j a t a n
जंतर	j a q t a r
जतरा	j a t r aa
जता	j a t aa
जताई	j a t aa ii
जताए	j a t aa ee
जताएं	j a t aa ee q
जताकर	j a t aa k a r
जताता	j a t aa t aa
जताती	j a t aa t ii
जताते	j a t aa t ee
जताने	j a t aa n ee
जताया	j a t aa y aa
जतारा	j a t aa r aa
जतिन	j a t i n
जंतु	j a q t u
जंतुओं	j a q t u o q
जत्था	j a t th aa
जत्रा	j a t r aa
जत्रे	j a t r ee
जथार	j a th aa r
जथ्या	j a th y aa
जद	j a d
जददोजहद	j a d d o j h a d
जदयु	j a d y u
जदयू	j a d y uu
जदयेश्वर	j a d y ee sh w a r
जदिया	j a d i y aa
जदुनाथ	j a d u n aa th
जद्दो	j a d d o
ज़द्दो	z a d d o
जद्दोजहद	j a d d o j h a d
जद्पुरा	j a d p u r aa
जन	j a n
जनक	j a n a k
जनकदुलारी	j a n k a d u l aa r ii
जनकपुर	j a n k a p u r
जनकपुरा	j a n k a p u r aa
जनकल्याण	j a n k a l y aa nx
जनकल्याणकारी	j a n k a l y aa nx k aa r ii
जनगणना	j a n g a nx n aa
जनजागरण	j a n j aa g r a nx
जनजागरूकता	j a n j aa g r uu k t aa
जनजागृति	j a n j aa g rq t i
जनजागृतिमोबाइल	j a n j aa g rq t i m o b aa i l
जनजाति	j a n j aa t i
जनजातिया	j a n j aa t i y aa
जनजातियां	j a n j aa t i y aa q
जनजातियों	j a n j aa t i y o q
जनजाती	j a n j aa t ii
जनजातीय	j a n j aa t ii y
जनजीवन	j a n j ii w a n
जनत	j a n a t
जनतंत्र	j a n t a q t r
जनता	j a n t aa
जनताएं	j a n t aa ee q
जनताओं	j a n t aa o q
जनतांत्रिक	j a n t aa q t r i k
जनते	j a n t ee
जनधन	j a n dh a n
जनन	j a n a n
जननांगों	j a n n aa q g o q
जननी	j a n n ii
जनने	j a n n ee
जनपत	j a n p a t
जनपद	j a n p a d
जनपदीय	j a n p a d ii y
जनप्रति	j a n a p r a t i
जनप्रतिनिधि	j a n a p r a t i n i dh i
जनप्रतिनिधियों	j a n a p r a t i n i dh i y o q
जनप्रयाश	j a n a p r a y aa sh
जनप्रिय	j a n a p r i y
जनबादी	j a n b aa d ii
जनभावना	j a n bh aa w n aa
जनम	j a n a m
जनमत	j a n m a t
जनमती	j a n m a t ii
जनमान	j a n m aa n
जनमानस	j a n m aa n a s
जनमी	j a n m ii
जनमे	j a n m ee
जनयानी	j a n a y aa n ii
जनरत	j a n r a t
जनरल	j a n r a l
जनरली	j a n a r l ii
जनरलों	j a n r a l o q
जनरल्स	j a n r a l s
जनरितवत	j a n r i t w a t
जनरेट	j a n r ee tx
जनरेटर	j a n r ee tx a r
जनरेटिंग	j a n r ee tx i q g
जनरेशन	j a n r ee sh a n
जनरों	j a n r o q
जनवर	j a n w a r
जनवरिी	j a n w a r i ii
जनवरी	j a n w a r ii
जनवाणी	j a n w aa nx ii
जनवाद	j a n w aa d
जनवादी	j a n w aa d ii
जनवारिया	j a n w aa r i y aa
जनवितरण	j a n w i t r a nx
जनविद्रोह	j a n w i d r o h
जनविरोधी	j a n w i r o dh ii
जनशक्ति	j a n a sh a k t i
जनशिक्षा	j a n a sh i k sx aa
